n_total,nominal_power,assurance
52,0.6052532014393815,0.5320567379147777
92,0.8480049933279483,0.6766752520360317
108,0.900186080362892,0.712321587486114
150,0.9693560360194555,0.7760668603927671
200,0.9932719490981642,0.8211610001590405
300,0.9997458362230163,0.868843915305518
500,0.9999997983771184,0.9078922478897627
1000,0.9999999999999993,0.9374271561472981
