n_total,prior_0.3,prior_0.4,prior_0.5,prior_0.6,prior_0.8,prior_1.0
92,0.18914449393115385,0.25219265857487183,0.31524082321858976,0.3782889878623077,0.5043853171497437,0.6304816464371795
174,0.21640907115936248,0.2885454282124833,0.3606817852656041,0.43281814231872495,0.5770908564249666,0.7213635705312083
300,0.23304657013579072,0.31072876018105433,0.3884109502263179,0.46609314027158144,0.6214575203621087,0.7768219004526358
406,0.24010515209023608,0.3201402027869815,0.40017525348372684,0.48021030418047217,0.640280405573963,0.8003505069674537
800,0.25158879273735985,0.3354517236498131,0.4193146545622664,0.5031775854747197,0.6709034472996263,0.8386293091245328
