scenario,control_early,control_late,contrast,n_per_cell,n_total,n_enriched,ratio
no control drift,0.0,0.0,12.675,31.0,124.0,92.0,1.3478260869565217
anchored controls,8.17,0.0,6.547499999999999,110.0,440.0,92.0,4.782608695652174
