e,n_total,n_screened,effect,sd,duration_months,total_cost
0.5333333333333333,2942.0,2942.0,3.0999999999999996,28.457348201592268,662.7777777777778,240950000.0
0.5391666666666667,2662.0,2691.1156250000004,3.2487500000000002,28.36356433473821,607.0256944444445,218808639.0625
0.545,2418.0,2470.89375,3.397500000000001,28.26868662937845,558.0875000000001,199484534.375
0.5508333333333333,2204.0,2276.31875,3.546249999999999,28.172704034298285,514.848611111111,182509896.875
0.5566666666666666,2018.0,2106.2875,3.6949999999999994,28.07560521757872,477.06388888888887,167739318.75
0.5625,1852.0,1953.28125,3.84375,27.97737855728267,443.0625,154533703.125
0.5683333333333334,1704.0,1815.825,3.9925000000000006,27.878012131726084,412.51666666666665,142740762.5
0.5741666666666667,1572.0,1692.35625,4.141250000000001,27.777493709311383,385.07916666666665,132206590.625
0.58,1454.0,1581.225,4.289999999999999,27.675810737898903,360.3833333333333,122775662.5
0.5858333333333333,1350.0,1482.890625,4.43875,27.572950333690567,338.53125,114456476.5625
0.5916666666666667,1254.0,1391.15625,4.5875,27.468899269598214,318.1458333333333,106759390.625
0.5975,1168.0,1308.525,4.736250000000001,27.363643963067126,299.78333333333336,99855712.5
0.6033333333333333,1090.0,1233.0625,4.884999999999998,27.257170463323348,283.0138888888889,93584656.25
0.6091666666666666,1018.0,1162.746875,5.033749999999999,27.149464438011176,267.3881944444445,87783817.1875
0.615,952.0,1097.775,5.182499999999999,27.040511159184845,252.95000000000002,82456837.5
0.6208333333333333,894.0,1040.671875,5.331250000000001,26.93029548861592,240.26041666666666,77775429.6875
0.6266666666666667,838.0,984.65,5.48,26.818801862375086,227.8111111111111,73239025.0
0.6325,788.0,934.51875,5.628749999999998,26.706014274644208,216.67083333333332,69186596.875
0.6383333333333333,742.0,888.08125,5.777499999999999,26.591916260711013,206.3513888888889,65452503.125
0.6441666666666667,700.0,845.46875,5.92625,26.476490879095618,196.88194444444446,62039171.875
0.65,660.0,804.375,6.075,26.35972069275394,187.75,58778937.5
0.6558333333333334,624.0,767.325,6.223750000000001,26.241587749299143,179.51666666666668,55843512.5
0.6616666666666666,590.0,731.96875,6.372499999999999,26.122073560177675,171.65972222222223,53064421.875
0.6675,558.0,698.3718749999999,6.521249999999999,26.001159078731472,164.19375,50442879.6875
0.6733333333333333,528.0,666.6,6.67,25.878824677072696,157.13333333333333,47980100.0
0.6791666666666667,500.0,636.7187500000001,6.8187500000000005,25.755050121691344,150.49305555555557,45677296.875
0.685,476.0,611.3625000000001,6.967500000000001,25.62981454770986,144.85833333333335,43708206.25
0.6908333333333333,452.0,585.48125,7.116249999999999,25.503096431691716,139.10694444444445,41729403.125
0.6966666666666667,428.0,559.075,7.264999999999999,25.374873562903392,133.23888888888888,39740887.5
0.7025,408.0,537.4125,7.41375,25.245123012920736,128.425,38090131.25
0.7083333333333334,388.0,515.3125000000001,7.5625,25.113821103461472,123.51388888888891,36431281.25
0.7141666666666666,370.0,495.453125,7.711249999999998,24.980943372315497,119.10069444444444,34938882.8125
0.72,352.0,475.2,7.8599999999999985,24.846464537233466,114.6,33439200.0
0.7258333333333333,336.0,457.275,8.00875,24.71035845762191,110.61666666666666,32107587.5
0.7316666666666667,320.0,439.0,8.157499999999999,24.57259809387956,106.55555555555556,30769500.0
0.7375,304.0,420.37500000000006,8.30625,24.433155464194552,102.41666666666669,29424937.5
0.7433333333333334,292.0,406.975,8.455000000000002,24.2920015986058,99.4388888888889,28427037.5
0.7491666666666666,278.0,390.50312499999995,8.603749999999998,24.149106490113322,95.7784722222222,27247307.8125
0.755,266.0,376.55625000000003,8.7525,24.0044390426021,92.67916666666667,26239290.625
0.7608333333333334,254.0,362.346875,8.901250000000001,23.857967015321456,89.52152777777778,25226417.1875
0.7666666666666666,242.0,347.875,9.049999999999999,23.709656963636853,86.30555555555556,24208687.5
0.7725,232.0,336.0375,9.198749999999999,23.559474175742974,83.67500000000001,23364693.75
0.7783333333333333,222.0,323.98125,9.3475,23.40738260499595,80.99583333333334,22516653.125
0.7841666666666667,212.0,311.70625,9.49625,23.25334479748738,78.26805555555556,21664565.625
0.79,204.0,302.175,9.645000000000001,23.097321814444204,76.15,20988237.5
0.7958333333333334,194.0,289.48437500000006,9.793750000000001,22.93927314899421,73.32986111111113,20128460.9375
0.8016666666666667,186.0,279.58125,9.942500000000003,22.77915663678823,71.12916666666666,19445253.125
0.8075,178.0,269.50312499999995,10.09125,22.616928359914397,68.88958333333332,18758807.8125
0.8133333333333334,170.0,259.25000000000006,10.240000000000002,22.45254254347749,66.61111111111111,18069125.0
0.8191666666666666,164.0,251.89375,10.388749999999998,22.285951444146008,64.97638888888889,17558034.375
