e,n_total,n_screened,effect,duration_months,total_cost
0.5333333333333333,86.0,86.0,34.535,28.11111111111111,9614000.0
0.5391666666666667,86.0,86.940625,34.5805,28.320138888888888,9631401.5625
0.545,86.0,87.88125000000001,34.626,28.52916666666667,9648803.125
0.5508333333333333,86.0,88.82187499999999,34.671499999999995,28.738194444444442,9666204.6875
0.5566666666666666,84.0,87.675,34.717,28.483333333333334,9519987.5
0.5625,84.0,88.59375,34.7625,28.6875,9536984.375
0.5683333333333334,84.0,89.5125,34.808,28.891666666666666,9553981.25
0.5741666666666667,84.0,90.43125,34.8535,29.095833333333335,9570978.125
0.58,84.0,91.35,34.899,29.299999999999997,9587975.0
0.5858333333333333,82.0,90.071875,34.9445,29.015972222222224,9439329.6875
0.5916666666666667,82.0,90.96875,34.989999999999995,29.21527777777778,9455921.875
0.5975,82.0,91.86562500000001,35.0355,29.414583333333336,9472514.0625
0.6033333333333333,82.0,92.76249999999999,35.081,29.613888888888887,9489106.25
0.6091666666666666,80.0,91.375,35.1265,29.305555555555557,9338437.5
0.615,80.0,92.25,35.172,29.5,9354625.0
0.6208333333333333,80.0,93.12500000000001,35.2175,29.694444444444446,9370812.5
0.6266666666666667,80.0,94.00000000000001,35.263,29.888888888888893,9387000.0
0.6325,80.0,94.87499999999999,35.308499999999995,30.08333333333333,9403187.5
0.6383333333333333,78.0,93.35625,35.354,29.745833333333334,9250090.625
0.6441666666666667,78.0,94.209375,35.3995,29.935416666666665,9265873.4375
0.65,78.0,95.0625,35.445,30.125,9281656.25
0.6558333333333334,78.0,95.915625,35.4905,30.314583333333335,9297439.0625
0.6616666666666666,78.0,96.76875,35.536,30.504166666666666,9313221.875
0.6675,76.0,95.11874999999999,35.5815,30.1375,9157696.875
0.6733333333333333,76.0,95.95,35.626999999999995,30.322222222222223,9173075.0
0.6791666666666667,76.0,96.78125,35.6725,30.506944444444443,9188453.125
0.685,76.0,97.61250000000001,35.718,30.69166666666667,9203831.25
0.6908333333333333,76.0,98.44375,35.7635,30.876388888888886,9219209.375
0.6966666666666667,74.0,96.66250000000001,35.809,30.480555555555558,9061256.25
0.7025,74.0,97.471875,35.8545,30.660416666666666,9076229.6875
0.7083333333333334,74.0,98.28125000000001,35.9,30.840277777777782,9091203.125
0.7141666666666666,74.0,99.09062499999999,35.945499999999996,31.020138888888887,9106176.5625
0.72,74.0,99.9,35.991,31.200000000000003,9121150.0
0.7258333333333333,72.0,97.9875,36.0365,30.775,8960768.75
0.7316666666666667,72.0,98.775,36.082,30.950000000000003,8975337.5
0.7375,72.0,99.5625,36.1275,31.125,8989906.25
0.7433333333333334,72.0,100.35000000000001,36.173,31.3,9004475.0
0.7491666666666666,72.0,101.1375,36.2185,31.475,9019043.75
0.755,70.0,99.09375,36.263999999999996,31.020833333333332,8856234.375
0.7608333333333334,70.0,99.859375,36.3095,31.19097222222222,8870398.4375
0.7666666666666666,70.0,100.625,36.355,31.36111111111111,8884562.5
0.7725,70.0,101.390625,36.4005,31.53125,8898726.5625
0.7783333333333333,70.0,102.15625,36.446,31.70138888888889,8912890.625
0.7841666666666667,68.0,99.98125,36.4915,31.218055555555555,8747653.125
0.79,68.0,100.725,36.537,31.383333333333333,8761412.5
0.7958333333333334,68.0,101.46875000000001,36.582499999999996,31.548611111111114,8775171.875
0.8016666666666667,68.0,102.2125,36.628,31.71388888888889,8788931.25
0.8075,68.0,102.95625,36.6735,31.879166666666666,8802690.625
0.8133333333333334,66.0,100.65,36.719,31.366666666666667,8635025.0
0.8191666666666666,66.0,101.371875,36.7645,31.527083333333334,8648379.6875
0.825,66.0,102.09375,36.809999999999995,31.6875,8661734.375
0.8308333333333333,66.0,102.815625,36.8555,31.847916666666666,8675089.0625
